Temperature,Humidity,Occupancy
23.1,27.16666667,1
23.05,27.15,1
23,27.125,1
23,27.125,1
23,27.2,-1
22.945,27.29,-1
22.945,27.39,-1
22.89,27.39,-1
22.89,27.39,-1
22.89,27.39,-1
22.89,27.445,-1
22.89,27.5,-1
22.89,27.5,-1
22.79,27.445,-1
22.79,27.5,-1
22.79,27.5,-1
22.79,27.5,-1
22.745,27.5,-1
22.7,27.46333333,-1
22.7,27.5,-1
22.7,27.5,-1
22.66666667,27.42666667,-1
22.7,27.6,-1
22.6,27.42666667,-1
22.6,27.39,-1
22.6,27.35666667,-1
22.6,27.445,-1
22.6,27.42666667,-1
22.6,27.445,-1
22.6,27.445,-1
22.6,27.39,-1
22.5,27.32333333,-1
22.5,27.445,-1
22.5,27.5,-1
22.5,27.445,-1
22.39,27.29,-1
22.5,27.5,-1
22.39,27.34,-1
22.39,27.35666667,-1
22.39,27.5,-1
22.39,27.5,-1
22.39,27.5,-1
20.7225,22.5,1
20.73,22.5,1
20.7225,22.525,1
20.7675,22.65,1
20.79,22.79,1
20.815,22.8675,1
20.82333333,23.03333333,1
20.815,23.025,1
20.89,23.175,1
20.89,23.29,1
20.89,23.29,1
20.89,23.29,1
20.89,23.32333333,1
21.15,23.7225,1
21.2,23.745,1
21.2,23.79,1
21.2,23.79,1
21.26,23.85666667,1
21.29,23.865,1
21.29,23.89,-1
21.29,23.89,1
21.32333333,23.92666667,1
21.29,24,1
21.34,24,1
21.29,24.05,1
21.29,24.1,1
21.315,24.175,1
21.29,24.2,1
21.29,24.2,1
