cpu,ram,anomaly
66,46,-1
72,51,-1
76,60,-1
71,65,-1
67,62,-1
65,61,-1
74,61,-1
76,69,-1
78,71,-1
72,66,-1
77,67,-1
85,71,1
87,71,1
86,68,1
84,66,1
76,67,-1
69,64,-1
77,69,-1
78,70,-1
70,60,1
69,64,-1
81,70,1
83,69,1
84,67,-1
84,69,1
84,70,1
89,72,1
88,70,-1
74,63,1
72,66,-1
75,70,1
77,65,-1
63,55,-1
67,62,-1
73,62,-1
71,66,-1
74,67,-1
75,59,-1
74,59,-1
81,63,1
78,64,-1
70,62,1
64,41,-1
65,45,-1
63,50,-1
57,54,-1
67,56,-1
71,54,-1
64,56,-1
60,55,-1
64,54,-1
60,52,-1
64,51,-1
71,44,-1
69,51,-1
75,59,-1
65,58,-1
65,52,-1
68,53,-1
73,58,-1
75,57,-1
79,63,-1
83,68,1
81,65,1
74,66,-1
64,63,-1
72,66,-1
77,68,-1
77,68,-1
53,38,-1
53,41,-1
49,40,-1
48,39,-1
47,40,-1
49,45,-1
60,51,-1
60,54,-1
58,55,-1
63,56,-1
66,58,-1
62,51,-1
53,27,-1
52,28,-1
56,39,-1
68,39,-1
62,41,-1
59,45,-1
57,50,-1
69,58,-1
59,55,-1
56,52,-1
65,59,-1
61,60,1
48,46,-1
51,37,-1
60,36,-1
58,47,-1
64,58,-1
77,63,-1
83,63,-1
49,37,-1
